competition,year,vehicle_type,source_file,team,car_num,overall_place,total_score,penalty,total_score_clean,country,engine_cylinders,num_motors,engine_displacement_cc,tractive_system_voltage_v,weight_reported_kg,weight_reported_lbs,design_status_final_or_blank,design_raw_score,design_document_penalty,design_late_penalty,design_score,presentation_status_final_or_blank_or_rfp,presentation_raw_score,presentation_penalty,presentation_score,cost_adjusted_cost,cost_price_score,cost_accuracy_score,cost_engineering_drawings_score,cost_scenario_score,cost_penalty,cost_score,acceleration_number_of_runs,acceleration_best_time_raw,acceleration_best_time_cones,acceleration_best_adjusted_time,acceleration_penalty,acceleration_score,skidpad_number_of_runs,skidpad_best_time_raw_left,skidpad_best_time_raw_right,skidpad_best_time_raw_average,skidpad_best_time_cones,skidpad_best_adjusted_time,skidpad_penalty,skidpad_score,autocross_number_of_runs,autocross_best_time_raw,autocross_best_time_cones,autocross_best_time_off_course,autocross_best_adjusted_time,autocross_penalty,autocross_score,endurance_number_of_laps,endurance_time_raw,endurance_cones,endurance_off_course,endurance_other_penalty,endurance_time_adjusted,endurance_time_score,endurance_lap_score,endurance_score,efficiency_time_average_adjusted,efficiency_laps_completed,efficiency_fuel_used_ltr,efficiency_energy_used_kwh,efficiency_adjusted_co2_kg,efficiency_average_adjusted_co2_per_lap_kg,efficiency_fuel_type_e85_93_100_ev_etc,efficiency_fuel_efficiency_factor,efficiency_score,endurance_efficiency_score,team_normalized,event_id,entry_id,overall_percentile
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Maryland - College Park,19.0,1.0,813.4,,813.4,,,,,,,,0.0,100.0,,,100.0,,64.49,,64.5,,,,,,,79.0,4.0,3.912,,3.912,,75.0,4.0,5.135,5.047,5.091,,5.091,,45.2,4.0,49.322,,,49.322,,129.1,,,,,,,,,,,,,,,,,,,320.7,univ_of_maryland_college_park,formula_sae_california_2008,formula_sae_california_2008_IC_19_univ_of_maryland_college_park,100.0
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Missouri University of Science and Tech,82.0,2.0,799.1,,799.1,,,,,,,,0.0,100.0,,,100.0,,63.49,,63.5,,,,,,,82.0,4.0,4.389,,4.389,,51.1,4.0,5.564,5.494,5.529,,5.529,,25.0,4.0,47.869,,,47.869,,150.0,,,,,,,,,,,,,,,,,,,327.5,missouri_university_of_science_and_tech,formula_sae_california_2008,formula_sae_california_2008_IC_82_missouri_university_of_science_and_tech,98.31
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Oklahoma,79.0,3.0,788.3,,788.3,,,,,,,,0.0,110.0,,,110.0,,55.61,,55.6,,,,,,,84.0,4.0,4.423,,4.423,,49.6,2.0,5.027,5.068,5.0475,,5.047,,47.5,4.0,49.987,,,49.987,,119.9,,,,,,,,,,,,,,,,,,,321.7,univ_of_oklahoma,formula_sae_california_2008,formula_sae_california_2008_IC_79_univ_of_oklahoma,96.61
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Michigan State Univ,10.0,4.0,784.6,,784.6,,,,,,,,1.0,140.0,,,140.0,,65.85,,65.9,,,,,,,68.0,4.0,4.371,,4.371,,51.9,4.0,5.258,5.387,5.3225,,5.322,,33.9,4.0,50.118,,,50.118,,118.2,,,,,,,,,,,,,,,,,,,306.7,michigan_state_univ,formula_sae_california_2008,formula_sae_california_2008_IC_10_michigan_state_univ,94.92
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,California State Poly Univ - Pomona,13.0,5.0,699.8,,699.8,,,,,,,,0.0,80.0,,,80.0,,73.25,,73.3,,,,,,,67.0,3.0,9.579,,9.579,,3.5,4.0,4.972,5.031,5.0015,,5.001,,50.0,4.0,53.815,,,53.815,,71.6,,,,,,,,,,,,,,,,,,,354.4,california_state_poly_univ_pomona,formula_sae_california_2008,formula_sae_california_2008_IC_13_california_state_poly_univ_pomona,93.22
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Western Washington Univ,35.0,6.0,693.8,,693.8,,,,,,,,1.0,125.0,,,125.0,,65.53,,65.5,,,,,,,70.0,4.0,4.145,,4.145,,62.7,4.0,5.128,5.23,5.179,,5.179,,40.7,4.0,51.032,,,51.032,,106.0,,,,,,,,,,,,,,,,,,,223.8,western_washington_univ,formula_sae_california_2008,formula_sae_california_2008_IC_35_western_washington_univ,91.53
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Toledo,5.0,7.0,682.5,,682.5,,,,,,,,0.0,80.0,,,80.0,,52.48,,52.5,,,,,,,75.0,4.0,4.329,,4.329,,53.8,3.0,5.457,5.185,5.321,,5.321,,34.0,4.0,51.558,,,51.558,,99.2,,,,,,,,,,,,,,,,,,,288.0,univ_of_toledo,formula_sae_california_2008,formula_sae_california_2008_IC_5_univ_of_toledo,89.83
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Cincinnati,83.0,8.0,665.5,,665.5,,,,,,,,0.0,100.0,,,100.0,,56.35,,56.4,,,,,,,77.0,4.0,4.392,,4.392,,51.0,4.0,5.223,5.242,5.2325,,5.232,,38.1,4.0,47.955,,,47.955,,148.7,,,,,,,,,,,,,,,,,,,194.3,univ_of_cincinnati,formula_sae_california_2008,formula_sae_california_2008_IC_83_univ_of_cincinnati,88.14
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Rensselaer Polytechnic Inst,77.0,9.0,635.2,,635.2,,,,,,,,0.0,100.0,,,100.0,,68.98,,69.0,,,,,,,70.0,4.0,4.061,,4.061,,66.9,4.0,5.422,5.403,5.4125,,5.412,,29.9,4.0,53.413,,,53.413,,76.4,,,,,,,,,,,,,,,,,,,222.9,rensselaer_polytechnic_inst,formula_sae_california_2008,formula_sae_california_2008_IC_77_rensselaer_polytechnic_inst,86.44
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Kansas State Univ,50.0,10.0,603.5,,603.5,,,,,,,,0.0,60.0,,,60.0,,49.2,,49.2,,,,,,,51.0,4.0,4.633,,4.633,,40.8,4.0,5.34,5.328,5.334,,5.334,,33.4,4.0,49.897,,,49.897,,121.2,,,,,,,,,,,,,,,,,,,248.0,kansas_state_univ,formula_sae_california_2008,formula_sae_california_2008_IC_50_kansas_state_univ,84.75
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Chalmers Univ of Tech,49.0,11.0,601.0,,601.0,,,,,,,,0.0,60.0,,,60.0,,75.0,,75.0,,,,,,,75.0,4.0,4.511,,4.511,,45.8,4.0,5.253,5.403,5.328,,5.328,,33.7,4.0,51.56,,,51.56,,99.2,,,,,,,,,,,,,,,,,,,212.3,chalmers_univ_of_tech,formula_sae_california_2008,formula_sae_california_2008_IC_49_chalmers_univ_of_tech,83.05
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,California State Univ - Northridge,7.0,12.0,600.3,,600.3,,,,,,,,0.0,80.0,,,80.0,,47.93,,47.9,,,,,,,66.0,4.0,4.136,,4.136,,63.1,4.0,5.471,5.523,5.497,,5.497,,26.3,4.0,51.101,,,51.101,,105.1,,,,,,,,,,,,,,,,,,,211.8,california_state_univ_northridge,formula_sae_california_2008,formula_sae_california_2008_IC_7_california_state_univ_northridge,81.36
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Clemson Univ,80.0,13.0,592.9,,592.9,,,,,,,,0.0,60.0,,,60.0,,56.47,,56.5,,,,,,,86.0,3.0,4.084,,4.084,,65.7,3.0,5.172,5.438,5.305,,5.305,,34.7,4.0,50.605,,,50.605,,111.6,,,,,,,,,,,,,,,,,,,178.3,clemson_univ,formula_sae_california_2008,formula_sae_california_2008_IC_80_clemson_univ,79.66
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Idaho,29.0,14.0,553.4,,553.4,,,,,,,,0.0,60.0,,,60.0,,50.41,,50.4,,,,,,,65.0,4.0,4.309,,4.309,,54.8,4.0,5.422,5.509,5.4655,1.0,5.59,,22.6,4.0,55.08,,,55.08,,57.1,,,,,,,,,,,,,,,,,,,243.5,univ_of_idaho,formula_sae_california_2008,formula_sae_california_2008_IC_29_univ_of_idaho,77.97
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Alberta,46.0,15.0,491.0,,491.0,,,,,,,,0.0,80.0,,,80.0,,54.46,,54.5,,,,,,,73.0,4.0,4.115,,4.115,,64.2,4.0,5.701,5.612,5.6565,,5.656,,20.0,4.0,58.312,,,58.312,,22.9,,,,,,,,,,,,,,,,,,,176.4,univ_of_alberta,formula_sae_california_2008,formula_sae_california_2008_IC_46_univ_of_alberta,76.27
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,South Dakota Sch of Mines & Tech,6.0,16.0,478.5,,478.5,,,,,,,,0.0,120.0,,,120.0,,71.32,,71.3,,,,,,,55.0,4.0,4.443,,4.443,,48.7,4.0,5.096,5.144,5.12,,5.12,,43.7,4.0,48.569,,,48.569,,139.8,,,,,,,,,,,,,,,,,,,,south_dakota_sch_of_mines_tech,formula_sae_california_2008,formula_sae_california_2008_IC_6_south_dakota_sch_of_mines_tech,74.58
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Washington,12.0,17.0,475.7,,475.7,,,,,,,,1.0,135.0,,,135.0,,60.14,,60.1,,,,,,,64.0,4.0,4.442,,4.442,,48.8,4.0,5.171,5.213,5.192,,5.192,,40.1,4.0,49.423,,,49.423,,127.7,,,,,,,,,,,,,,,,,,,,univ_of_washington,formula_sae_california_2008,formula_sae_california_2008_IC_12_univ_of_washington,72.88
