Competition,Year,Class,Source File,School,Car Number,Overall Place,Total Score Raw,Total Penalty,Total Score,Country,Number of Cylinders,Number of Motors,Engine Displacement (cc),Tractive System Voltage (V),Weight (kg),Weight (lbs),Design Status (Final or Blank),Design Raw Score,Design Document Penalty,Design Late Penalty,Design Score,Presentation Status (Final or Blank or RFP),Presentation Raw Score,Presentation Penalty,Presentation Score,Cost Adjusted Cost,Cost Price Score,Cost Accuracy Score,Cost Engineering Drawings Score,Cost Scenario Score,Cost Penalty,Cost Score,Acceleration Number of Runs,Acceleration Best Time Raw,Acceleration Best Time Cones,Acceleration Best Adjusted Time,Acceleration Penalty,Acceleration Score,Skidpad Number of Runs,Skidpad Best Time Raw Left,Skidpad Best Time Raw Right,Skidpad Best Time Raw Average,Skidpad Best Time Cones,Skidpad Best Adjusted Time,Skidpad Penalty,Skidpad Score,Autocross Number of Runs,Autocross Best Time Raw,Autocross Best Time Cones,Autocross Best Time Off Course,Autocross Best Adjusted Time,Autocross Penalty,Autocross Score,Endurance Number of Laps,Endurance Time Raw,Endurance Cones,Endurance Off Course,Endurance Other Penalty,Endurance Time Adjusted,Endurance Time Score,Endurance Lap Score,Endurance Score,Efficiency Time Average Adjusted,Efficiency Laps Completed,Efficiency Fuel Used (ltr),Efficiency Energy Used (kWh),Efficiency Adjusted CO2 (kg),Efficiency Average Adjusted CO2 per Lap (kg),"Efficiency Fuel Type (E85/93/100/EV, etc.)",Efficiency Fuel Efficiency Factor,Efficiency Score,Endurance+Efficiency Score
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Maryland - College Park,19,1,813.4,,813.4,,,,,,,,0,100,,,100,,64.49,,64.5,,,,,,,79.0,4,3.912,,3.912,,75.0,4,5.135,5.047,5.091,,5.091,,45.2,4,49.322,,,49.322,,129.1,,,,,,,,,,,,,,,,,,,320.7
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Missouri University of Science and Tech,82,2,799.1,,799.1,,,,,,,,0,100,,,100,,63.49,,63.5,,,,,,,82.0,4,4.389,,4.389,,51.1,4,5.564,5.494,5.529,,5.529,,25.0,4,47.869,,,47.869,,150.0,,,,,,,,,,,,,,,,,,,327.5
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Oklahoma,79,3,788.3,,788.3,,,,,,,,0,110,,,110,,55.61,,55.6,,,,,,,84.0,4,4.423,,4.423,,49.6,2,5.027,5.068,5.0475,,5.047,,47.5,4,49.987,,,49.987,,119.9,,,,,,,,,,,,,,,,,,,321.7
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Michigan State Univ,10,4,784.6,,784.6,,,,,,,,1,140,,,140,,65.85,,65.9,,,,,,,68.0,4,4.371,,4.371,,51.9,4,5.258,5.387,5.3225,,5.322,,33.9,4,50.118,,,50.118,,118.2,,,,,,,,,,,,,,,,,,,306.7
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,California State Poly Univ - Pomona,13,5,699.8,,699.8,,,,,,,,0,80,,,80,,73.25,,73.3,,,,,,,67.0,3,9.579,,9.579,,3.5,4,4.972,5.031,5.0015,,5.001,,50.0,4,53.815,,,53.815,,71.6,,,,,,,,,,,,,,,,,,,354.4
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Western Washington Univ,35,6,693.8,,693.8,,,,,,,,1,125,,,125,,65.53,,65.5,,,,,,,70.0,4,4.145,,4.145,,62.7,4,5.128,5.230,5.179,,5.179,,40.7,4,51.032,,,51.032,,106.0,,,,,,,,,,,,,,,,,,,223.8
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Toledo,5,7,682.5,,682.5,,,,,,,,0,80,,,80,,52.48,,52.5,,,,,,,75.0,4,4.329,,4.329,,53.8,3,5.457,5.185,5.321,,5.321,,34.0,4,51.558,,,51.558,,99.2,,,,,,,,,,,,,,,,,,,288.0
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Univ of Cincinnati,83,8,665.5,,665.5,,,,,,,,0,100,,,100,,56.35,,56.4,,,,,,,77.0,4,4.392,,4.392,,51.0,4,5.223,5.242,5.2325,,5.232,,38.1,4,47.955,,,47.955,,148.7,,,,,,,,,,,,,,,,,,,194.3
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Rensselaer Polytechnic Inst,77,9,635.2,,635.2,,,,,,,,0,100,,,100,,68.98,,69.0,,,,,,,70.0,4,4.061,,4.061,,66.9,4,5.422,5.403,5.4125,,5.412,,29.9,4,53.413,,,53.413,,76.4,,,,,,,,,,,,,,,,,,,222.9
Formula SAE California,2008,IC,FSAE_California/results_2008.xlsx,Kansas State Univ,50,10,603.5,,603.5,,,,,,,,0,60,,,60,,49.20,,49.2,,,,,,,51.0,4,4.633,,4.633,,40.8,4,5.340,5.328,5.334,,5.334,,33.4,4,49.897,,,49.897,,121.2,,,,,,,,,,,,,,,,,,,248.0
