Full Name,Nickname,Height,Weight,Reach,Stance,Date of Birth
Asjabharan,,"5' 6""",135 lbs.,--,,"Jul 31, 1992"
Wulijiburen,Beast Master,"5' 9""",135 lbs.,"69""",Orthodox,"Mar 01, 1989"
Yibugele,Eagle,"5' 7""",145 lbs.,"69""",Southpaw,"Nov 13, 1989"
Jiniushiyue,Little King Kong,"5' 6""",125 lbs.,"68""",Southpaw,"Dec 09, 2000"
Maheshate,,"6' 0""",155 lbs.,"71""",Orthodox,"Dec 01, 1999"
Mizuki,,"5' 3""",115 lbs.,"65""",Orthodox,"Aug 19, 1994"
Rongzhu,,"5' 9""",155 lbs.,"72""",Orthodox,"Mar 07, 2000"
Angga,The Hitman,"5' 7""",145 lbs.,"68""",Orthodox,"Jan 13, 1989"
Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991"
Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 25, 1993"
Balajin,The Snow Leopard,"5' 9""",145 lbs.,"72""",Orthodox,"Mar 31, 1992"
Sumudaerji,The Tibetan Eagle,"5' 8""",125 lbs.,"72""",Southpaw,"Jan 20, 1996"
Kaiwen,The Underdog,"5' 9""",145 lbs.,"72""",Switch,"Oct 16, 1995"
Yizha,,"5' 7""",145 lbs.,"71""",Orthodox,"Jan 08, 1997"
Aalon Cruz,,"6' 0""",145 lbs.,"78""",Switch,"Sep 20, 1989"
Aaron Simpson,A-Train,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 20, 1974"
Aaron Miller,Blood Spiller,"5' 9""",145 lbs.,--,,--
Aaron Brink,,"6' 3""",205 lbs.,--,Orthodox,"Nov 12, 1974"
Aaron Jeffery,,"6' 2""",185 lbs.,"73""",Orthodox,"Nov 14, 1992"
Aaron Lanfranco,,--,155 lbs.,--,,"Aug 26, 1986"
Aaron Riley,,"5' 8""",155 lbs.,"69""",Southpaw,"Dec 09, 1980"
Aaron Rosa,,"6' 4""",205 lbs.,"77""",Orthodox,"May 28, 1983"
Aaron Wetherspoon,Slam,--,170 lbs.,--,,--
Aaron Tau,Tauzemup,"5' 4""",135 lbs.,"66""",Switch,"Aug 21, 1993"
Aaron Ely,The Cyborg,"5' 8""",135 lbs.,--,,"Mar 18, 1989"
Aaron Wilkinson,The Daywalker,"5' 10""",155 lbs.,--,Orthodox,"Jan 31, 1987"
Aaron Phillips,The Dragon,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 05, 1989"
Aaron Trujillo,,"5' 5""",125 lbs.,--,,--
Abdul-Kareem Al-Selwady,Pride of Palestine,"5' 8""",155 lbs.,"69""",Orthodox,"Apr 10, 1995"
Abdul-Kerim Edilov,,"6' 2""",205 lbs.,--,Orthodox,"Nov 25, 1991"
Abdul Azeem Badakhshi,The Afghan Lion,--,145 lbs.,--,,--
Abdul Razak Alhassan,,"5' 10""",185 lbs.,"73""",Orthodox,"Aug 11, 1985"
Abel Trujillo,Killa,"5' 8""",155 lbs.,"70""",Orthodox,"Sep 18, 1983"
Abel Cullum,The Silent Assassin,"5' 7""",139 lbs.,--,Orthodox,"Apr 21, 1987"
Abner Lloveras,Skullman,"5' 11""",155 lbs.,--,,"Sep 04, 1982"
Abongo Humphrey,,"5' 11""",205 lbs.,--,Orthodox,--
Abram Torres,,"5' 10""",170 lbs.,--,,"Oct 29, 1982"
