Aaron Pico
Abdul Rakhman Yakhyaev
Abdul-Kareem Al-Selwady
Abus Magomedov
Adrian Yanez
Aiemann Zahabi
Ailin Perez
Alberto Montes
Alden Coria
Aleksandar Rakic
Aleksandre Topuria
Alessandro Costa
Alex Pereira
Alex Reyes
Alex Perez
Alexa Grasso
Alexander Hernandez
Alexander Volkanovski
Alexander Volkov
Alexandre Pantoja
Alexia Thainara
Aliaskhab Khizriev
Alibi Idiris
Alice Pereira
Alice Ardelean
Aljamain Sterling
Allan Nascimento
Allen Frye Jr.
Alonzo Menifield
Alvin Hines
Amanda Ribas
Amanda Nunes
Amanda Lemos
Amir Albazi
Andre Petroski
Andre Lima
Andre Fili
Andreas Gustafsson
Andrey Pulyaev
Angel Pacheco
Angela Hill
Anshul Jubli
Ante Delija
Anthony Hernandez
Ariane Carnelossi
Arman Tsarukyan
Arnold Allen
Asu Almabayev
Ateba Gautier
Austen Lane
Austin Vanderford
Austin Bashi
Axel Sola
Azamat Murzakanov
Azamat Bekoev
Baisangur Susurkaev
Bassil Hafez
Bekzat Almakhan
Belal Muhammad
Ben Johnston
Benardo Sopaj
Beneil Dariush
Benoit Saint Denis
Bia Mesquita
Billy Elekana
Billy Quarantillo
Billy Ray Goff
Bo Nickal
Bogdan Grad
Bogdan Guskov
Bolaji Oki
Brad Tavares
Brady Hiestand
Brando Pericic
Brandon Moreno
Brandon Royval
Brendan Allen
Brendson Ribeiro
Brian Ortega
Brunno Ferreira
Bruno Gustavo da Silva
Bruno Lopes
Bryce Mitchell
Caio Borralho
Calvin Kattar
Cam Rowston
Cameron Saaiman
Cameron Smotherman
Carli Judice
Carlos Ulberg
Carlos Leal
Carlos Prates
Carlos Vera
Carlston Harris
Carol Foro
Casey O'Neill
Cesar Almeida
Cezary Oleksiejczuk
Chad Anheliger
ChangHo Lee
Charles Johnson
Charles Jourdain
Charles Radtke
Charles Oliveira
Charlie Campbell
Chase Hooper
Chelsea Chandler
Chepe Mariscal
Chidi Njokuani
Chris Curtis
Chris Duncan
Chris Gutierrez
Chris Padilla
Christian Leroy Duncan
Christian Rodriguez
Christopher Alvidrez
Ciryl Gane
Claudio Puelles
Clayton Carpenter
Cody Chovancek
Cody Garbrandt
Cody Durden
Cody Brundage
Cody Gibson
Cody Haddon
Colby Covington
Colby Thicknesse
Cory Sandhagen
Court McGee
Cristian Quinonez
Curtis Blaydes
Da'Mon Blackshear
Dakota Hope
Damian Pinas
Damir Hadzovic
Dan Ige
Dan Hooker
Daniel Barez
Daniel Santos
Daniel Frunza
Daniel Zellhuber
Daniel Rodriguez
Daniel Marcos
Daniil Donchenko
Danny Silva
Daria Zhelezniakova
Darren Elkins
Darrius Flowers
Davey Grant
David Onama
David Martinez
Deiveson Figueiredo
Denise Gomes
Dennis Buzukja
Denzel Freeman
Derrick Lewis
Diego Lopes
Diego Ferreira
Ding Meng
Dione Barbosa
Diyar Nurgozhay
Djorden Santos
Dom Mar Fan
Dominick Reyes
DongHun Choi
Donte Johnson
Dooho Choi
Douglas Silva de Andrade
Drakkar Klose
Drew Dober
Dricus Du Plessis
Dusko Todorovic
Dustin Jacoby
Dustin Stoltzfus
Edgar Chairez
Edmen Shahbazyan
Edson Barboza
Eduarda Moura
Elijah Smith
Elise Reed
Elisha Ellison
Elves Brener
Eric Nolan
Eric McConico
Erin Blanchfield
Ernesta Kareckaite
Esteban Ribovics
Ethyn Ewing
Evan Elder
Fares Ziam
Farid Basharat
Fatima Kline
Felipe Franco
Felipe Lima
Fernando Padilla
Francis Marshall
Francisco Prado
Gabe Green
Gabriel Bonfim
Gabriel Santos
Gabriella Fernandes
Garrett Armfield
Gaston Bolanos
Gauge Young
Geoff Neal
Gerald Meerschaert
Giga Chikadze
Gilbert Urbina
Gillian Robertson
Gokhan Saricam
Grant Dawson
Gregory Rodrigues
Guilherme Pat
Gunnar Nelson
Hailey Cowan
Harry Hardwick
Hecher Sosa
Hyder Amil
HyunSung Park
Ian Machado Garry
Iasmin Lucindo
Ibo Aslan
Ignacio Bahamondes
Ikram Aliskerov
Ilia Topuria
Imanol Rodriguez
Ion Cutelaba
Irene Aldana
Isaac Thomson
Islam Dulatov
Islam Makhachev
Ismael Bonfim
Ismail Naurdiev
Israel Adesanya
Ivan Erslan
Iwo Baraniewski
Jack Jenkins
Jack Hermansson
Jack Della Maddalena
Jackson McVey
Jacob Malkoun
Jacobe Smith
Jacqueline Cavalcanti
Jafel Filho
Jai Herbert
Jake Matthews
Jakub Wiklacz
Jalin Turner
